,CONGLOME,VIVIENDA,ID,P367,P368_TIEMPO,P368_HORAS,P368_DIAS,P369,P370_MESES,P370_NS,P371,P371_AGUA,P371_FORMULA,P371_LECHE_ENVASADA,P371_LECHE_VACA,P371_JUGO,P371_OTRO,P371_CALDOS,P371_NINGUNO
228,8965,38,4.0,1,3.0,,21.0,2.0,7.0,,57,2,2,2,2,1,2,1,2
229,9024,51,5.0,1,1.0,,,2.0,15.0,,137,1,2,1,2,2,2,1,2
230,9054,65,7.0,1,2.0,7.0,,2.0,18.0,,14567,1,2,2,1,1,1,1,2
231,9054,86,5.0,1,2.0,3.0,,2.0,18.0,,147,1,2,2,1,2,2,1,2
232,9063,17,6.0,1,2.0,1.0,,2.0,12.0,,67,2,2,2,2,2,1,1,2
233,9063,71,6.0,1,2.0,1.0,,2.0,18.0,,367,2,2,1,2,2,1,1,2
234,9073,40,6.0,1,1.0,,,2.0,22.0,,67,2,2,2,2,2,1,1,2
235,9168,90,4.0,1,2.0,1.0,,2.0,13.0,,167,1,2,2,2,2,1,1,2
236,9173,93,5.0,1,2.0,1.0,,2.0,8.0,,1357,1,2,1,2,1,2,1,2
237,9179,73,9.0,1,2.0,1.0,,1.0,,,167,1,2,2,2,2,1,1,2
238,9184,22,3.0,1,3.0,,4.0,2.0,6.0,,567,2,2,2,2,1,1,1,2
239,9185,36,4.0,1,1.0,,,1.0,,,1367,1,2,1,2,2,1,1,2
240,9194,73,5.0,1,3.0,,2.0,2.0,20.0,,367,2,2,1,2,2,1,1,2
241,9218,15,5.0,1,1.0,,,2.0,5.0,,1356,1,2,1,2,1,1,2,2
242,9232,99,4.0,1,2.0,3.0,,2.0,13.0,,16,1,2,2,2,2,1,2,2
243,9233,32,4.0,1,2.0,1.0,,2.0,15.0,,1357,1,2,1,2,1,2,1,2
244,9248,9,99.0,1,2.0,1.0,,1.0,,,16,1,2,2,2,2,1,2,2
245,9249,39,7.0,1,2.0,2.0,,2.0,6.0,,367,2,2,1,2,2,1,1,2
246,9272,76,5.0,1,2.0,1.0,,2.0,12.0,,12567,1,1,2,2,1,1,1,2
247,9274,43,6.0,1,2.0,1.0,,2.0,24.0,,136,1,2,1,2,2,1,2,2
248,9317,78,4.0,1,1.0,,,1.0,,,167,1,2,2,2,2,1,1,2
249,9337,9,99.0,1,2.0,3.0,,1.0,,,136,1,2,1,2,2,1,2,2
250,9338,58,5.0,1,2.0,2.0,,1.0,,,136,1,2,1,2,2,1,2,2
251,9342,13,3.0,1,1.0,,,1.0,,,1567,1,2,2,2,1,1,1,2
